Examiner_ID;Date;From;To
EL002;2024,01,22;08,30;14,00
EA001;2024,01,22;09,00;13,30
EJ003;2024,01,23;08,50;15,00
EL004;2024,01,23;09,00;12,00
EM005;2024,01,23;10,00;13,40
EA001;2024,01,23;12,00;14,30
EL002;2024,01,23;13,00;17,00
EL004;2024,01,23;13,00;15,30
EA001;2024,01,23;15,00;17,00
EM005;2024,01,23;15,10;17,00
EJ003;2024,01,24;09,00;13,00
EA001;2024,01,24;09,00;12,00
EL002;2024,01,24;09,00;13,00
EL004;2024,01,24;09,00;13,30
EM005;2024,01,24;10,00;14,00
EJ003;2024,01,25;09,00;14,00
EJ003;2024,01,26;08,00;13,00
EL004;2024,01,26;10,50;15,30
EL004;2024,01,29;10,30;15,00
EJ003;2024,01,29;11,50;16,00
EL004;2024,02,02;10,00;13,40
