Date;Start_Time;End_Time
2024,01,22;10,10;10,40
2024,01,22;10,50;11,20
2024,01,22;11,30;12,00
2024,01,22;12,50;13,20
2024,01,23;09,00;09,30
2024,01,23;13,10;13,30
2024,01,23;13,40;14,00
2024,01,23;15,20;15,40
2024,01,24;09,40;10,00
2024,01,24;10,10;10,30
2024,01,24;10,40;11,00
2024,01,24;11,10;11,30
2024,01,24;11,40;12,00
2024,01,24;12,10;12,30
2024,01,24;12,40;13,00
2024,01,25;09,50;10,30
2024,01,25;10,40;11,20
2024,01,26;11,30;12,10
2024,01,26;13,10;13,50
2024,01,29;12,10;12,40
2024,01,29;12,50;13,20
2024,01,29;13,30;14,00
2024,01,29;14,10;14,40
2024,02,02;09,00;09,30
2024,02,02;10,10;10,50
2024,02,02;12,10;12,50
